,Cipher_suite,Cert_length,Cert_num,Cert_self_sign,Cert_not_valid_before,Cert_not_valid_after,Cert_pbk_size_list,Cert_sign_len,Arrival_time_ave：,Packet_len_ave,Packet_num,Pcap_len,Content_length,Time_since_request,Request_frame,Accept_encoding,Connection,Request_method,User_agent,Label
0,0,0,0,0,0,0,0,0,7.8068,222.549,51,11350,0,0,0,0,0,2,0,1
1,0,0,0,0,0,0,0,0,7.3469,61.0,8,488,0,0,0,0,0,2,0,1
2,49199,1482,2,1,20161118,20171119,2048,256,10.346,714.5323,62,44301,0,0,0,0,0,2,0,1
3,49199,1197,3,1,20170531,20170823,2048,256,55.24,777.2846,130,101047,0,0,0,0,0,2,0,1
4,49199,1197,3,1,20170531,20170823,2048,256,5.9663,1022.8739,238,243444,0,0,0,0,0,2,0,1
5,49199,0,0,0,0,0,0,0,4.452,142.25,12,1707,0,0,0,0,0,2,0,1
6,49199,0,0,0,0,0,0,0,4.4542,142.25,12,1707,0,0,0,0,0,2,0,1
7,49199,0,0,0,0,0,0,0,4.4546,142.25,12,1707,0,0,0,0,0,2,0,1
8,49199,0,0,0,0,0,0,0,4.4566,142.25,12,1707,0,0,0,0,0,2,0,1
9,49199,1347,2,1,20170123,20180123,2048,256,30.8804,327.2174,23,7526,0,0,0,0,0,2,0,1
10,0,0,0,0,0,0,0,0,4.9443,66.8,5,334,0,0,0,0,0,2,0,1
11,0,0,0,0,0,0,0,0,132.9158,159.4375,16,2551,25,0,0,26992,30309,1,16937,1
12,0,0,0,0,0,0,0,0,88.5771,176.9091,11,1946,0,0,0,25448,30309,0,13110,1
13,0,0,0,0,0,0,0,0,362.0088,165.6667,15,2485,25,0,0,26992,30309,1,16937,1
14,53,1730,2,1,20160425,20190525,2048,256,1.6173,349.0909,22,7680,0,0,0,0,0,2,0,1
15,49199,1339,2,1,20170213,20200226,2048,256,15.9911,284.25,20,5685,0,0,0,0,0,2,0,1
16,0,1574,2,1,20170107,20180130,2048,256,4.499,504.74,50,25237,0,0,0,0,0,2,0,1
